codigo_localidad,anio,casos,sexo,mes,dia_semana,rango_hora,tipo_accidente,circunstancia,condicion_victima,medio_transporte,localidad,ciclo_vital
0,2015,1,Mujer,abril,martes,06:00 a 08:59,Choque con otro vehículo,Desobedecer señales de tránsito,Pasajero,Automóvil,Sin localidad específica,(18 a 28) Juventud
0,2015,1,Hombre,julio,viernes,21:00 a 23:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Mujer,agosto,domingo,00:00 a 02:59,Choque con objeto fijo o en movimiento,Exceso de velocidad,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
19,2015,1,Mujer,marzo,domingo,12:00 a 14:59,Choque con otro vehículo,Posibles fallas mecánicas,Pasajero,Automóvil,Ciudad Bolívar,(Más de 60) Adulto Mayor
0,2015,1,Hombre,junio,domingo,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Automóvil,Sin localidad específica,(18 a 28) Juventud
0,2015,1,Hombre,febrero,miércoles,00:00 a 02:59,Choque con objeto fijo o en movimiento,Malas condiciones de la vía,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,septiembre,lunes,21:00 a 23:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Mujer,marzo,domingo,12:00 a 14:59,Choque con otro vehículo,Posibles fallas mecánicas,Pasajero,Automóvil,Sin localidad específica,(Más de 60) Adulto Mayor
21,2015,1,Hombre,abril,viernes,Sin información,Volcamiento,Otras circunstancias no especificadas,Conductor,Automóvil,Sin dato,(29 a 59) Adultez
19,2015,1,Mujer,octubre,viernes,00:00 a 02:59,Choque con objeto fijo o en movimiento,Embriaguez (Alcohólica y no alcohólica),Pasajero,Automóvil,Ciudad Bolívar,(18 a 28) Juventud
0,2015,1,Hombre,junio,martes,00:00 a 02:59,Choque con otro vehículo,Contravía,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
12,2015,1,Hombre,noviembre,domingo,03:00 a 05:59,Choque con objeto fijo o en movimiento,Sin información,Pasajero,Automóvil,Barrios Unidos,(29 a 59) Adultez
14,2015,1,Mujer,febrero,domingo,Sin información,Sin información,Sin información,Pasajero,Automóvil,Los Mártires,(29 a 59) Adultez
0,2015,1,Hombre,noviembre,domingo,03:00 a 05:59,Choque con objeto fijo o en movimiento,Sin información,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Hombre,octubre,domingo,09:00 a 11:59,Caída de aeronave,Sin información,Pasajero,Avión – avioneta,Engativá,(29 a 59) Adultez
10,2015,1,Hombre,octubre,domingo,09:00 a 11:59,Caída de aeronave,Desastre no natural o accidente masivo,Conductor,Avión – avioneta,Engativá,(29 a 59) Adultez
0,2015,1,Hombre,octubre,domingo,09:00 a 11:59,Caída de aeronave,Sin información,Pasajero,Avión – avioneta,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Mujer,octubre,domingo,09:00 a 11:59,Caída de aeronave,Desastre no natural o accidente masivo,Pasajero,Avión – avioneta,Engativá,(29 a 59) Adultez
10,2015,1,Hombre,octubre,domingo,09:00 a 11:59,Caída de aeronave,Desastre no natural o accidente masivo,Pasajero,Avión – avioneta,Engativá,(29 a 59) Adultez
0,2015,1,Hombre,octubre,domingo,09:00 a 11:59,Caída de aeronave,Desastre no natural o accidente masivo,Pasajero,Avión – avioneta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,octubre,domingo,09:00 a 11:59,Caída de aeronave,Desastre no natural o accidente masivo,Conductor,Avión – avioneta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Mujer,octubre,domingo,09:00 a 11:59,Caída de aeronave,Desastre no natural o accidente masivo,Pasajero,Avión – avioneta,Sin localidad específica,(29 a 59) Adultez
8,2015,1,Hombre,diciembre,lunes,03:00 a 05:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2015,1,Hombre,septiembre,miércoles,Sin información,Caída del ocupante,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Hombre,agosto,miércoles,06:00 a 08:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
0,2015,1,Hombre,agosto,lunes,09:00 a 11:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
