codigo_localidad,anio,casos,sexo,mes,dia_semana,rango_hora,tipo_accidente,circunstancia,condicion_victima,medio_transporte,localidad,ciclo_vital
15,2015,1,Mujer,abril,viernes,18:00 a 20:59,Atropello,Exceso de velocidad,Peatón,No aplica,Antonio Nariño,(Más de 60) Adulto Mayor
0,2015,1,Mujer,mayo,martes,06:00 a 08:59,Atropello,Sin información,Peatón,No aplica,Sin localidad específica,(Más de 60) Adulto Mayor
10,2015,1,Mujer,marzo,viernes,15:00 a 17:59,Atropello,Otras circunstancias no especificadas,Peatón,No aplica,Engativá,(29 a 59) Adultez
4,2015,1,Hombre,julio,lunes,03:00 a 05:59,Atropello,Sin información,Peatón,No aplica,San Cristóbal,(29 a 59) Adultez
9,2015,1,Mujer,enero,miércoles,06:00 a 08:59,Atropello,Desobedecer señales de tránsito,Peatón,No aplica,Fontibón,(Más de 60) Adulto Mayor
0,2015,1,Mujer,mayo,miércoles,15:00 a 17:59,Atropello,Desobedecer señales de tránsito,Peatón,No aplica,Sin localidad específica,(Más de 60) Adulto Mayor
8,2015,1,Mujer,octubre,lunes,03:00 a 05:59,Atropello,Sin información,Peatón,No aplica,Kennedy,(Más de 60) Adulto Mayor
7,2015,1,Hombre,julio,jueves,00:00 a 02:59,Sin información,Desobedecer señales de tránsito,Sin información,Sin información,Bosa,(18 a 28) Juventud
0,2015,1,Hombre,julio,jueves,00:00 a 02:59,Sin información,Desobedecer señales de tránsito,Sin información,Sin información,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,julio,martes,(00:00 a 02:59),Choque,Otra,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
2,2016,1,Hombre,julio,sábado,Sin información,Choque,Sin información,Pasajero,Automóvil,Chapinero,(29 a 59) Adultez
16,2016,1,Hombre,junio,domingo,(21:00 a 23:59),Choque,Sin información,Conductor,Automóvil,Puente Aranda,(29 a 59) Adultez
0,2016,1,Hombre,agosto,lunes,(09:00 a 11:59),Choque,Otra,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,junio,domingo,(21:00 a 23:59),Choque,Sin información,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
10,2016,1,Mujer,abril,jueves,(00:00 a 02:59),Choque,Exceso de velocidad,Conductor,Automóvil,Engativá,(18 a 28) Juventud
1,2016,1,Hombre,julio,martes,(00:00 a 02:59),Choque,Otra,Conductor,Automóvil,Usaquén,(29 a 59) Adultez
0,2016,1,Mujer,febrero,domingo,(06:00 a 08:59),Choque,Sin información,Pasajero,Automóvil,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Mujer,diciembre,domingo,Sin información,Choque,Desobedecer señales de tránsito,Pasajero,Automóvil,Sin localidad específica,(Más de 60) Adulto Mayor
8,2016,1,Mujer,diciembre,domingo,Sin información,Choque,Desobedecer señales de tránsito,Pasajero,Automóvil,Kennedy,(Más de 60) Adulto Mayor
16,2016,1,Mujer,junio,domingo,(21:00 a 23:59),Choque,Sin información,Pasajero,Automóvil,Puente Aranda,(29 a 59) Adultez
0,2016,1,Hombre,julio,domingo,(15:00 a 17:59),Volcamiento,Otra,Pasajero,Automóvil,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,febrero,domingo,(06:00 a 08:59),Choque,Sin información,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
18,2016,1,Mujer,febrero,domingo,(06:00 a 08:59),Choque,Sin información,Pasajero,Automóvil,Rafael Uribe Uribe,(18 a 28) Juventud
0,2016,1,Mujer,junio,domingo,(21:00 a 23:59),Choque,Sin información,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,julio,domingo,(03:00 a 05:59),Choque,Sin información,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
2,2016,1,Hombre,marzo,martes,Sin información,Choque,Otra,Conductor,Automóvil,Chapinero,(29 a 59) Adultez
0,2016,1,Hombre,marzo,martes,Sin información,Choque,Otra,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
12,2016,1,Hombre,julio,domingo,(03:00 a 05:59),Choque,Sin información,Conductor,Automóvil,Barrios Unidos,(29 a 59) Adultez
10,2016,1,Mujer,abril,jueves,(00:00 a 02:59),Choque,Desobedecer señales de tránsito,Pasajero,Automóvil,Engativá,(29 a 59) Adultez
18,2016,1,Hombre,febrero,domingo,(06:00 a 08:59),Choque,Sin información,Conductor,Automóvil,Rafael Uribe Uribe,(29 a 59) Adultez
11,2016,1,Hombre,julio,domingo,(15:00 a 17:59),Volcamiento,Otra,Pasajero,Automóvil,Suba,(Más de 60) Adulto Mayor
12,2016,1,Hombre,agosto,lunes,(09:00 a 11:59),Choque,Otra,Pasajero,Automóvil,Barrios Unidos,(18 a 28) Juventud
0,2016,1,Hombre,agosto,lunes,(09:00 a 11:59),Choque,Otra,Pasajero,Automóvil,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,julio,sábado,Sin información,Choque,Sin información,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Mujer,abril,jueves,(00:00 a 02:59),Choque,Exceso de velocidad,Conductor,Automóvil,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Mujer,abril,jueves,(00:00 a 02:59),Choque,Desobedecer señales de tránsito,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
12,2016,1,Hombre,agosto,lunes,(09:00 a 11:59),Choque,Otra,Pasajero,Automóvil,Barrios Unidos,(29 a 59) Adultez
0,2016,1,Hombre,junio,sábado,(18:00 a 20:59),Choque,Embriaguez (Alcohólica y no alcohólica),Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
7,2016,1,Hombre,enero,sábado,(15:00 a 17:59),Choque,Otra,Conductor,Bicicleta,Bosa,(29 a 59) Adultez
0,2016,1,Hombre,noviembre,sábado,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
1,2016,1,Hombre,junio,lunes,(09:00 a 11:59),Choque,Otra,Conductor,Bicicleta,Usaquén,(29 a 59) Adultez
9,2016,1,Hombre,marzo,miércoles,(06:00 a 08:59),Choque,Sin información,Conductor,Bicicleta,Fontibón,(29 a 59) Adultez
0,2016,1,Hombre,junio,sábado,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,octubre,sábado,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
10,2016,1,Hombre,enero,jueves,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
11,2016,1,Hombre,abril,viernes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Suba,(29 a 59) Adultez
0,2016,1,Hombre,febrero,martes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
11,2016,1,Hombre,abril,jueves,(00:00 a 02:59),Choque,Sin información,Conductor,Bicicleta,Suba,(18 a 28) Juventud
7,2016,1,Hombre,noviembre,sábado,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Bosa,(29 a 59) Adultez
0,2016,1,Hombre,diciembre,martes,(06:00 a 08:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,julio,martes,(00:00 a 02:59),Volcamiento,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,octubre,sábado,(18:00 a 20:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
8,2016,1,Hombre,septiembre,sábado,(18:00 a 20:59),Choque,Malas condiciones de la vía,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2016,1,Hombre,abril,jueves,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,julio,sábado,(18:00 a 20:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,agosto,viernes,(18:00 a 20:59),Volcamiento,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
11,2016,1,Hombre,julio,martes,(00:00 a 02:59),Volcamiento,Otra,Conductor,Bicicleta,Suba,(29 a 59) Adultez
0,2016,1,Hombre,enero,sábado,(15:00 a 17:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,septiembre,sábado,(18:00 a 20:59),Choque,Malas condiciones de la vía,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
7,2016,1,Hombre,octubre,martes,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
19,2016,1,Hombre,noviembre,domingo,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Ciudad Bolívar,(Más de 60) Adulto Mayor
8,2016,1,Hombre,agosto,jueves,(12:00 a 14:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Kennedy,(18 a 28) Juventud
13,2016,1,Hombre,noviembre,sábado,(06:00 a 08:59),Choque,Otra,Conductor,Bicicleta,Teusaquillo,(29 a 59) Adultez
0,2016,1,Hombre,octubre,lunes,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,marzo,miércoles,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
19,2016,1,Hombre,septiembre,domingo,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Ciudad Bolívar,(12 a 17) Adolescencia
5,2016,1,Hombre,junio,miércoles,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Usme,(12 a 17) Adolescencia
7,2016,1,Mujer,julio,viernes,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Bosa,(12 a 17) Adolescencia
6,2016,1,Hombre,septiembre,jueves,(09:00 a 11:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Tunjuelito,(Más de 60) Adulto Mayor
0,2016,1,Hombre,octubre,domingo,(09:00 a 11:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,noviembre,viernes,(18:00 a 20:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,septiembre,domingo,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(12 a 17) Adolescencia
0,2016,1,Hombre,abril,sábado,(15:00 a 17:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
11,2016,1,Hombre,junio,lunes,(03:00 a 05:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Suba,(29 a 59) Adultez
0,2016,1,Hombre,marzo,sábado,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,marzo,miércoles,(06:00 a 08:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Mujer,julio,viernes,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(12 a 17) Adolescencia
6,2016,1,Hombre,mayo,martes,Sin información,Volcamiento,Posibles fallas mecánicas,Conductor,Bicicleta,Tunjuelito,(29 a 59) Adultez
17,2016,1,Hombre,agosto,jueves,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,La Candelaria,(18 a 28) Juventud
0,2016,1,Hombre,octubre,miércoles,(18:00 a 20:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(12 a 17) Adolescencia
0,2016,1,Hombre,noviembre,viernes,(06:00 a 08:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
6,2016,1,Hombre,julio,viernes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Tunjuelito,(Más de 60) Adulto Mayor
0,2016,1,Hombre,noviembre,viernes,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,enero,jueves,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,abril,jueves,(00:00 a 02:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,septiembre,martes,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,mayo,martes,(06:00 a 08:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,marzo,sábado,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
19,2016,1,Hombre,junio,sábado,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Ciudad Bolívar,(29 a 59) Adultez
8,2016,1,Hombre,noviembre,sábado,(15:00 a 17:59),Choque,Sin información,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2016,1,Hombre,mayo,miércoles,Sin información,Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
7,2016,1,Hombre,diciembre,martes,(06:00 a 08:59),Choque,Otra,Conductor,Bicicleta,Bosa,(29 a 59) Adultez
0,2016,1,Mujer,enero,miércoles,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,diciembre,jueves,(06:00 a 08:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,julio,viernes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,enero,viernes,(06:00 a 08:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
7,2016,1,Hombre,agosto,viernes,Sin información,Choque,Sin información,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
8,2016,1,Hombre,junio,sábado,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
16,2016,1,Hombre,octubre,sábado,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Puente Aranda,(18 a 28) Juventud
0,2016,1,Hombre,diciembre,sábado,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,diciembre,viernes,(21:00 a 23:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Mujer,marzo,lunes,Sin información,Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(06 a 11) Infancia
0,2016,1,Hombre,junio,miércoles,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(12 a 17) Adolescencia
7,2016,1,Hombre,diciembre,viernes,(21:00 a 23:59),Choque,Otra,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
1,2016,1,Hombre,noviembre,viernes,(18:00 a 20:59),Choque,Sin información,Conductor,Bicicleta,Usaquén,(29 a 59) Adultez
0,2016,1,Hombre,noviembre,domingo,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
10,2016,1,Hombre,octubre,lunes,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
10,2016,1,Mujer,junio,domingo,Sin información,Choque,Sin información,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
8,2016,1,Mujer,septiembre,jueves,(06:00 a 08:59),Choque,Sin información,Pasajero,Bicicleta,Kennedy,(Más de 60) Adulto Mayor
7,2016,1,Hombre,octubre,sábado,(18:00 a 20:59),Choque,Sin información,Conductor,Bicicleta,Bosa,(29 a 59) Adultez
0,2016,1,Hombre,octubre,martes,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
11,2016,1,Hombre,febrero,martes,Sin información,Choque,Sin información,Conductor,Bicicleta,Suba,(29 a 59) Adultez
10,2016,1,Hombre,agosto,viernes,(18:00 a 20:59),Volcamiento,Otra,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
0,2016,1,Hombre,junio,sábado,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
7,2016,1,Hombre,mayo,miércoles,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Bosa,(Más de 60) Adulto Mayor
15,2016,1,Hombre,abril,jueves,Sin información,Choque,Sin información,Conductor,Bicicleta,Antonio Nariño,(29 a 59) Adultez
7,2016,1,Hombre,octubre,miércoles,(18:00 a 20:59),Choque,Sin información,Conductor,Bicicleta,Bosa,(12 a 17) Adolescencia
0,2016,1,Hombre,septiembre,jueves,(09:00 a 11:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
8,2016,1,Hombre,junio,martes,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Kennedy,(18 a 28) Juventud
0,2016,1,Hombre,mayo,martes,Sin información,Volcamiento,Posibles fallas mecánicas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,noviembre,sábado,(06:00 a 08:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
1,2016,1,Mujer,diciembre,jueves,(03:00 a 05:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Usaquén,(18 a 28) Juventud
0,2016,1,Hombre,julio,martes,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
12,2016,1,Hombre,diciembre,jueves,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Barrios Unidos,(Más de 60) Adulto Mayor
0,2016,1,Hombre,junio,martes,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
8,2016,1,Hombre,febrero,martes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2016,1,Hombre,abril,sábado,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
8,2016,1,Hombre,mayo,martes,(06:00 a 08:59),Choque,Sin información,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2016,1,Mujer,junio,domingo,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,junio,lunes,(03:00 a 05:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,mayo,miércoles,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
8,2016,1,Hombre,mayo,miércoles,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
10,2016,1,Hombre,julio,sábado,(18:00 a 20:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
15,2016,1,Hombre,marzo,sábado,(12:00 a 14:59),Choque,Sin información,Conductor,Bicicleta,Antonio Nariño,(29 a 59) Adultez
0,2016,1,Hombre,noviembre,sábado,(15:00 a 17:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2016,1,Hombre,enero,martes,Sin información,Choque,Exceso de velocidad,Conductor,Bicicleta,Engativá,(Más de 60) Adulto Mayor
10,2016,1,Hombre,marzo,sábado,Sin información,Choque,Sin información,Conductor,Bicicleta,Engativá,(Más de 60) Adulto Mayor
7,2016,1,Hombre,noviembre,viernes,Sin información,Choque,Sin información,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
11,2016,1,Hombre,julio,martes,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Suba,(18 a 28) Juventud
7,2016,1,Hombre,octubre,jueves,(15:00 a 17:59),Choque,Sin información,Conductor,Bicicleta,Bosa,(Más de 60) Adulto Mayor
19,2016,1,Hombre,mayo,miércoles,Sin información,Choque,Exceso de velocidad,Conductor,Bicicleta,Ciudad Bolívar,(18 a 28) Juventud
0,2016,1,Hombre,junio,martes,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
18,2016,1,Hombre,noviembre,viernes,(06:00 a 08:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Rafael Uribe Uribe,(29 a 59) Adultez
9,2016,1,Hombre,abril,sábado,(15:00 a 17:59),Choque,Otra,Conductor,Bicicleta,Fontibón,(Más de 60) Adulto Mayor
0,2016,1,Mujer,agosto,lunes,(09:00 a 11:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,abril,viernes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,junio,lunes,(09:00 a 11:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,octubre,jueves,(15:00 a 17:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
7,2016,1,Hombre,febrero,lunes,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Bosa,(Más de 60) Adulto Mayor
0,2016,1,Hombre,diciembre,jueves,(09:00 a 11:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,febrero,lunes,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
10,2016,1,Mujer,diciembre,sábado,Sin información,Choque,Otra,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
10,2016,1,Mujer,agosto,lunes,(09:00 a 11:59),Choque,Otra,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
0,2016,1,Mujer,diciembre,jueves,(03:00 a 05:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
10,2016,1,Hombre,junio,sábado,(18:00 a 20:59),Choque,Embriaguez (Alcohólica y no alcohólica),Conductor,Bicicleta,Engativá,(29 a 59) Adultez
3,2016,1,Hombre,diciembre,sábado,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Santa Fe,(18 a 28) Juventud
7,2016,1,Hombre,diciembre,jueves,(06:00 a 08:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Bosa,(29 a 59) Adultez
6,2016,1,Hombre,marzo,jueves,(15:00 a 17:59),Choque,Sin información,Conductor,Bicicleta,Tunjuelito,(Más de 60) Adulto Mayor
0,2016,1,Hombre,mayo,lunes,(06:00 a 08:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
8,2016,1,Hombre,junio,martes,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2016,1,Hombre,febrero,martes,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2016,1,Hombre,septiembre,martes,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Engativá,(Más de 60) Adulto Mayor
5,2016,1,Hombre,mayo,lunes,(06:00 a 08:59),Choque,Otra,Conductor,Bicicleta,Usme,(29 a 59) Adultez
7,2016,1,Mujer,marzo,lunes,Sin información,Choque,Exceso de velocidad,Conductor,Bicicleta,Bosa,(06 a 11) Infancia
0,2016,1,Hombre,agosto,jueves,(12:00 a 14:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
11,2016,1,Hombre,octubre,domingo,(09:00 a 11:59),Choque,Desobedecer señales de tránsito,Conductor,Bicicleta,Suba,(Más de 60) Adulto Mayor
0,2016,1,Mujer,septiembre,jueves,(06:00 a 08:59),Choque,Sin información,Pasajero,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,marzo,jueves,(15:00 a 17:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
10,2016,1,Mujer,enero,miércoles,(12:00 a 14:59),Choque,Otra,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
0,2016,1,Hombre,agosto,viernes,Sin información,Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
8,2016,1,Hombre,marzo,miércoles,Sin información,Choque,Sin información,Conductor,Bicicleta,Kennedy,(18 a 28) Juventud
0,2016,1,Hombre,octubre,martes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,mayo,miércoles,(15:00 a 17:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,agosto,jueves,(21:00 a 23:59),Choque,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
11,2016,1,Hombre,abril,sábado,Sin información,Choque,Sin información,Conductor,Bicicleta,Suba,(18 a 28) Juventud
16,2016,1,Hombre,enero,viernes,(06:00 a 08:59),Choque,Sin información,Conductor,Bicicleta,Puente Aranda,(29 a 59) Adultez
7,2016,1,Hombre,septiembre,martes,(18:00 a 20:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
10,2016,1,Hombre,octubre,martes,(18:00 a 20:59),Choque,Otra,Conductor,Bicicleta,Engativá,(Más de 60) Adulto Mayor
0,2016,1,Hombre,enero,martes,Sin información,Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2016,1,Hombre,septiembre,martes,(18:00 a 20:59),Choque,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Mujer,diciembre,sábado,Sin información,Choque,Otra,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,abril,jueves,(06:00 a 08:59),Caída del ocupante,Sin información,Pasajero,Bus,Sin localidad específica,(18 a 28) Juventud
15,2016,1,Mujer,febrero,miércoles,Sin información,Caída del ocupante,Otra,Pasajero,Bus,Antonio Nariño,(29 a 59) Adultez
0,2016,1,Hombre,junio,miércoles,(06:00 a 08:59),Choque,Sin información,Pasajero,Bus,Sin localidad específica,(29 a 59) Adultez
6,2016,1,Hombre,enero,domingo,(18:00 a 20:59),Caída del ocupante,Otra,Pasajero,Bus,Tunjuelito,(Más de 60) Adulto Mayor
0,2016,1,Hombre,diciembre,domingo,(18:00 a 20:59),Volcamiento,Sin información,Conductor,Bus,Sin localidad específica,(29 a 59) Adultez
0,2016,1,Hombre,marzo,miércoles,(12:00 a 14:59),Caída del ocupante,Otra,Pasajero,Bus,Sin localidad específica,(18 a 28) Juventud
0,2016,1,Hombre,enero,domingo,(18:00 a 20:59),Caída del ocupante,Otra,Pasajero,Bus,Sin localidad específica,(Más de 60) Adulto Mayor
16,2016,1,Mujer,abril,sábado,(12:00 a 14:59),Caída del ocupante,Sin información,Pasajero,Bus,Puente Aranda,(Más de 60) Adulto Mayor
18,2016,1,Hombre,marzo,miércoles,(12:00 a 14:59),Caída del ocupante,Otra,Pasajero,Bus,Rafael Uribe Uribe,(18 a 28) Juventud
